상호,영업표지,대표자,등록번호,최초등록일,업종
크리스아트케이크,크리스 아트케이크,RAIKOVA KRISTINA,20231079,2023.07.26,제과제빵
㈜오풍미F&B,카미나리,정진은,20231077,2023.07.26,한식
911보일러할인마트본점,911보일러할인마트,김준길,20220113,2022.02.09,기타도소매
제주애육당,제주애육당,박법래,20220793,2022.08.08,한식
코코케이크시흥본점,코코케이크,윤서연,20231075,2023.07.26,제과제빵
(주)마중물컴퍼니,꺼꾸잽이 초장집,"이동규,최승수",20220090,2022.01.28,기타 외식
맛나우,맛나우,김보경,20231078,2023.07.26,한식
정진에프엔비(F&B),부뚜막애순두부,김경화,20160800,2014.01.29,기타도소매
자마레코드(JAMARECORD),자마버거,윤효중,20220249,2022.03.25,패스트푸드
(주)디에스푸드,냉면발전소,백기원,20231093,2023.07.26,한식
(주)메이플탑,메이플탑,권 제임스 영(Kwon James Young),20231076,2023.07.26,기타 외식
(주)감칠맛,넙딱집,안명우,20180403,2018.04.23,한식
(주)감칠맛,제주도그릴,안명우,20150618,2015.07.20,기타 외식
(주)인맥에프엔씨,인생냉삼집,고형기,20212761,2021.10.15,한식
(주)인맥에프엔씨,바다로풍덩,고형기,20212762,2021.10.15,기타도소매
㈜에이케이에프엔비,족중당,김옥경,20190015,2019.01.08,주점
(주)올바른에프앤비,탄광맥주,고영호,20200369,2020.03.12,주점
(주)올바른에프앤비,미카도스시,고영호,20170126,2017.01.18,일식
(주)함께담는물,쪽찌,소창호,20160809,2016.08.17,한식
씨앰비즈(주),달다곰이,서보람,20213095,2021.10.22,음료 (커피 외)
(주)평강솔루션,설탕텔레콤,문동현,20200535,2020.04.21,기타도소매
(주)동심컴퍼니,홈팝참치,이창성,20160839,2016.08.26,일식
(주)제이앤엠푸드,호호닭발,박지혜,20140380,2014.05.12,치킨
(주)코렘에듀,코렘어학원,전안나,20100300063,2010.11.24,교육 (외국어)
아이이에프에스(주),동해강릉초당짬뽕순두부,박범진,20213394,2021.10.27,한식
원앤유컴퍼니(주),롤로토바코샵,지정환,20190775,2019.08.01,기타도소매
(주)토랑에프씨,더토랑,김수창,20201634,2020.12.01,PC방
(주)도시곳간,도시곳간,민요한,20210412,2021.02.16,(건강)식품
(주)디디케이,땅코참숯구이,장헌선,20213096,2021.10.22,한식
아모제푸드(주),오므토토마토,신희호,20080100283,2008.08.12,기타 외식
(주)남강푸드시스템,브이떡볶이126,도형석,20201030,2020.08.14,분식
(주)한상차림코다리명가,월매뜨레멸치국수·초김밥,박순옥,20201881,2020.12.23,분식
(주)코나투스,리본택시,김기동,20211269,2021.05.28,운송
해운대선셋(주),커피만달레이,문석준,20140110,2014.01.27,서양식
오리엔탈푸드(주),치킨몬스터,신영진,20213094,2021.10.22,치킨
포도도(pododo),포도도(pododo),홍정욱,20213979,2021.11.03,아이스크림/빙수
(주)온누리펫,온누리동물병원,이점재,20170851,2017.07.25,기타 서비스
(주)밥장인,밥장인,배대웅,20150553,2015.09.25,한식
(주)한국일오삼,처갓집플러스케이준치킨,"신동욱, 김강흥",20080200120,2008.08.20,치킨
(주)한국일오삼,처갓집양념치킨,"신동욱, 김강흥",20080200106,2008.08.08,치킨
케이사이공,K420,한대희,20220822,2022.08.12,기타 외식
에이스외식산업(주),카츠공식,왕학홍,20212642,2021.10.13,일식
(주)파운더스유니온,정성식,이문현,20213866,2021.11.01,일식
민선기획,주량,김기동,20231065,2023.07.25,주점
907육식당,907육식당,구영철,20231066,2023.07.25,한식
(주)오픈커피로스터스,오픈커피,허대광,20231070,2023.07.25,커피
도로이,도로이,이승진,20231073,2023.07.25,일식
국제컬러아트협회,예그리나 문화예술공간,이한샘,20230808,2023.06.08,기타 서비스
블랙캡컴퍼니,블랙캡피자,김동설,20191139,2019.11.05,피자
아기식당,아기식당,홍호성,20211408,2021.06.18,기타 외식
